Loan ID,Disbursed Date,Region,Loan Purpose,Loan Amount (INR),Tenure (months),Interest Rate (%),Applicant Age,Employment Type,Education Level,Marital Status,Monthly Income (INR),Credit Score,EMI (INR),EMI to Income Ratio,Late Payments Count,Loan Status
LN-103301,2021-01-01,Central India,Agriculture Loan,142170.0,12,11.19,21,Retired,Below High School,Married,24321.0,686,12577.82,0.517,1,Active
LN-105060,2021-01-01,South India,Gold Loan,784554.0,12,8.63,46,Salaried,Graduate,Married,50484.0,655,68475.87,1.356,3,Written Off
LN-105396,2021-01-01,North India,Home Loan,4258796.0,240,14.3,57,Salaried,High School,Single,27523.0,620,53889.46,1.958,9,Written Off
LN-100134,2021-01-02,Central India,Vehicle Loan,1069395.0,48,14.36,41,Salaried,Post-Graduate,Divorced,80148.0,705,29416.28,0.367,0,Fully Paid
LN-100626,2021-01-02,North India,Vehicle Loan,720245.0,72,14.35,46,Salaried,Post-Graduate,Divorced,60548.0,654,14976.5,0.247,0,Active
LN-102259,2021-01-02,West India,Education Loan,824131.0,36,16.84,36,Salaried,Graduate,Married,60203.0,688,29316.93,0.487,0,Fully Paid
LN-106022,2021-01-02,West India,Agriculture Loan,469739.0,24,17.09,43,Salaried,Post-Graduate,Divorced,86882.0,833,23245.28,0.268,0,Fully Paid
LN-100773,2021-01-03,West India,Vehicle Loan,1108778.0,48,13.91,44,Retired,High School,Divorced,36372.0,742,30248.96,0.832,0,Fully Paid
LN-102238,2021-01-03,South India,Personal Loan,349421.0,24,18.05,43,Self-Employed,Graduate,Married,35080.0,617,17452.97,0.498,0,Fully Paid
LN-102773,2021-01-03,West India,Home Loan,2972068.0,180,17.58,25,Self-Employed,Professional Degree,Single,67084.0,700,46967.45,0.7,1,Active
LN-103535,2021-01-03,Central India,Agriculture Loan,734173.0,24,7.89,33,Self-Employed,Professional Degree,Single,115110.0,697,33167.84,0.288,0,Fully Paid
LN-105745,2021-01-03,Central India,Vehicle Loan,213055.0,36,15.81,34,Salaried,High School,Married,37307.0,613,7470.41,0.2,0,Fully Paid
LN-100998,2021-01-04,East India,Business Loan,3724576.0,84,15.99,39,Self-Employed,Graduate,Single,45864.0,630,73956.56,1.613,6,Restructured
LN-101421,2021-01-05,North India,Business Loan,984914.0,60,11.38,25,Unemployed,High School,Married,10699.0,390,21601.54,2.019,6,Written Off
LN-102723,2021-01-05,East India,Personal Loan,227426.0,24,17.71,52,Self-Employed,Graduate,Married,46863.0,672,11322.2,0.242,0,Fully Paid
LN-103029,2021-01-05,North India,Personal Loan,451805.0,48,7.61,37,Salaried,Below High School,Married,24201.0,751,10947.36,0.452,0,Fully Paid
LN-105690,2021-01-05,South India,Vehicle Loan,242739.0,36,14.03,31,Salaried,Graduate,Married,58302.0,688,8299.78,0.142,0,Fully Paid
LN-105872,2021-01-05,North India,Personal Loan,62593.0,36,17.21,42,Business Owner,Professional Degree,Single,190391.0,668,2238.16,0.012,0,Fully Paid
LN-106605,2021-01-05,West India,Personal Loan,79613.0,48,12.54,26,Self-Employed,Post-Graduate,Married,77469.0,676,2117.69,0.027,0,Fully Paid
LN-102062,2021-01-06,Central India,Agriculture Loan,786501.0,36,11.51,50,Business Owner,Graduate,Divorced,108727.0,615,25939.4,0.239,10,Written Off
LN-104539,2021-01-06,South India,Personal Loan,393337.0,24,9.59,39,Salaried,Graduate,Single,47178.0,650,18076.16,0.383,0,Fully Paid
LN-105651,2021-01-06,South India,Home Loan,1934820.0,120,15.68,31,Salaried,Post-Graduate,Married,111646.0,645,32025.99,0.287,0,Active
LN-106578,2021-01-06,North India,Vehicle Loan,515485.0,72,14.85,34,Retired,High School,Married,21472.0,694,10857.99,0.506,0,Active
LN-101233,2021-01-07,North India,Personal Loan,145454.0,48,17.73,23,Unemployed,Graduate,Single,10420.0,475,4252.22,0.408,3,Written Off
LN-101278,2021-01-07,North India,Business Loan,3352611.0,84,13.67,22,Salaried,Graduate,Married,63364.0,628,62218.39,0.982,12,Defaulted
LN-105522,2021-01-07,North India,Vehicle Loan,612875.0,60,8.59,38,Salaried,Professional Degree,Married,113047.0,707,12600.67,0.111,0,Fully Paid
LN-103469,2021-01-08,East India,Education Loan,1464456.0,84,7.77,38,Salaried,Graduate,Single,49918.0,827,22657.88,0.454,1,Active
LN-105256,2021-01-08,East India,Personal Loan,58051.0,12,15.88,48,Self-Employed,Post-Graduate,Divorced,58326.0,629,5263.72,0.09,0,Fully Paid
LN-105465,2021-01-08,Central India,Personal Loan,431485.0,48,15.52,53,Self-Employed,Graduate,Divorced,66677.0,827,12122.59,0.182,0,Fully Paid
LN-106235,2021-01-08,East India,Home Loan,2807518.0,240,14.28,54,Salaried,Post-Graduate,Married,102327.0,717,35484.45,0.347,0,Active
LN-106476,2021-01-08,East India,Personal Loan,259655.0,12,18.14,30,Retired,Professional Degree,Divorced,70717.0,692,23822.47,0.337,0,Fully Paid
LN-100430,2021-01-09,West India,Personal Loan,213521.0,24,16.53,34,Retired,Post-Graduate,Married,85111.0,692,10508.8,0.123,0,Fully Paid
LN-100678,2021-01-09,Central India,Education Loan,891277.0,120,10.57,21,Business Owner,High School,Single,37742.0,605,12061.41,0.32,0,Active
LN-102933,2021-01-09,South India,Business Loan,3245355.0,24,16.13,35,Unemployed,Post-Graduate,Single,24467.0,505,159104.34,6.503,5,Defaulted
LN-102963,2021-01-09,North India,Personal Loan,343543.0,12,14.26,31,Business Owner,Post-Graduate,Single,114539.0,790,30887.78,0.27,0,Fully Paid
LN-103070,2021-01-09,East India,Home Loan,3396431.0,180,10.12,63,Retired,Post-Graduate,Divorced,58477.0,649,36747.97,0.628,2,Active
LN-103727,2021-01-09,Central India,Education Loan,652132.0,60,8.61,26,Business Owner,Below High School,Single,33191.0,628,13414.09,0.404,0,Fully Paid
LN-105374,2021-01-09,South India,Personal Loan,105508.0,36,12.76,57,Business Owner,Graduate,Married,51953.0,707,3542.8,0.068,0,Fully Paid
LN-105337,2021-01-10,South India,Business Loan,3147959.0,60,16.3,50,Salaried,Professional Degree,Married,72538.0,662,77054.94,1.062,1,Active
LN-103514,2021-01-11,South India,Business Loan,3405570.0,84,10.72,28,Self-Employed,High School,Divorced,30176.0,495,57811.49,1.916,3,Active
LN-104006,2021-01-11,North India,Vehicle Loan,848724.0,60,15.36,37,Self-Employed,Graduate,Divorced,62985.0,677,20351.82,0.323,0,Active
LN-104480,2021-01-11,Central India,Education Loan,1946182.0,60,16.45,31,Salaried,Post-Graduate,Married,97855.0,774,47793.95,0.488,0,Fully Paid
LN-102091,2021-01-12,South India,Home Loan,4424798.0,180,7.75,52,Salaried,Graduate,Married,64886.0,697,41649.55,0.642,4,Restructured
LN-101722,2021-01-13,West India,Education Loan,1001090.0,60,8.33,55,Self-Employed,High School,Divorced,18801.0,777,20456.97,1.088,0,Fully Paid
LN-101897,2021-01-13,North India,Home Loan,2065738.0,240,9.39,27,Self-Employed,Graduate,Married,61864.0,665,19107.25,0.309,1,Active
LN-106517,2021-01-13,East India,Personal Loan,470214.0,24,14.17,31,Self-Employed,Graduate,Single,41763.0,698,22614.11,0.541,0,Active
LN-106851,2021-01-13,East India,Home Loan,5710748.0,120,8.24,49,Business Owner,Below High School,Single,27773.0,848,70013.47,2.521,5,Written Off
LN-101703,2021-01-14,West India,Vehicle Loan,559448.0,60,15.04,41,Salaried,Professional Degree,Single,69160.0,764,13320.98,0.193,0,Fully Paid
LN-101891,2021-01-14,West India,Personal Loan,411923.0,12,7.97,28,Self-Employed,Post-Graduate,Divorced,56125.0,583,35826.82,0.638,0,Fully Paid
LN-102490,2021-01-14,South India,Vehicle Loan,913570.0,36,18.4,35,Salaried,High School,Married,35255.0,692,33211.35,0.942,0,Fully Paid
LN-104349,2021-01-14,South India,Home Loan,4142668.0,300,16.6,46,Salaried,Below High School,Single,13401.0,767,58251.71,4.347,1,Active
LN-106187,2021-01-14,East India,Home Loan,4572007.0,240,7.81,48,Salaried,Graduate,Divorced,47814.0,798,37703.25,0.789,0,Active
LN-101772,2021-01-15,South India,Home Loan,5867848.0,240,17.05,44,Salaried,Graduate,Married,57003.0,699,86292.81,1.514,1,Active
LN-103156,2021-01-15,North India,Home Loan,4180897.0,240,8.12,56,Salaried,Post-Graduate,Divorced,82301.0,723,35283.58,0.429,0,Active
LN-105761,2021-01-15,East India,Personal Loan,135229.0,48,14.74,40,Salaried,Professional Degree,Married,106431.0,753,3745.73,0.035,0,Fully Paid
LN-106432,2021-01-15,North India,Business Loan,3107006.0,84,13.52,50,Self-Employed,Below High School,Divorced,20669.0,641,57404.59,2.777,3,Written Off
LN-106489,2021-01-15,East India,Home Loan,3498710.0,240,12.18,48,Self-Employed,Post-Graduate,Married,54259.0,730,38963.76,0.718,3,Restructured
LN-102428,2021-01-16,West India,Home Loan,5008714.0,240,17.84,36,Self-Employed,Below High School,Divorced,17912.0,740,76683.87,4.281,0,Active
LN-103365,2021-01-16,Central India,Home Loan,3638543.0,180,10.83,38,Salaried,Post-Graduate,Divorced,70159.0,757,40967.99,0.584,0,Active
LN-103567,2021-01-16,North India,Vehicle Loan,953658.0,72,18.08,55,Business Owner,Post-Graduate,Divorced,152897.0,707,21793.98,0.143,0,Active
LN-104023,2021-01-16,Central India,Education Loan,1435164.0,84,8.73,64,Salaried,Post-Graduate,Divorced,108944.0,649,22894.3,0.21,1,Active
LN-105369,2021-01-16,East India,Business Loan,1452832.0,60,14.34,33,Unemployed,Below High School,Divorced,8427.0,501,34061.49,4.042,8,Defaulted
LN-100655,2021-01-17,West India,Agriculture Loan,510273.0,36,16.24,61,Retired,Professional Degree,Married,141615.0,552,18000.2,0.127,0,Fully Paid
LN-103612,2021-01-17,East India,Business Loan,880401.0,36,11.44,33,Retired,High School,Divorced,18075.0,612,29006.99,1.605,0,Fully Paid
LN-103883,2021-01-18,North India,Business Loan,2918137.0,24,18.02,49,Salaried,Post-Graduate,Single,65942.0,809,145713.57,2.21,11,Written Off
LN-100086,2021-01-19,South India,Home Loan,4209484.0,300,14.16,26,Unemployed,High School,Married,8799.0,654,51188.15,5.817,10,Defaulted
LN-101613,2021-01-19,West India,Business Loan,3200434.0,36,8.15,43,Salaried,Graduate,Married,69844.0,684,100511.58,1.439,4,Defaulted
LN-101935,2021-01-19,South India,Home Loan,4035072.0,180,14.29,41,Salaried,Professional Degree,Married,80161.0,728,54525.18,0.68,1,Active
LN-104624,2021-01-19,Central India,Vehicle Loan,682545.0,60,12.52,29,Business Owner,Post-Graduate,Single,102976.0,783,15362.8,0.149,0,Fully Paid
LN-105773,2021-01-19,North India,Business Loan,2790671.0,60,9.68,33,Self-Employed,High School,Married,28543.0,711,58855.07,2.062,0,Fully Paid
LN-106358,2021-01-19,South India,Vehicle Loan,1035389.0,72,14.07,32,Self-Employed,High School,Married,31116.0,676,21373.78,0.687,6,Restructured
